050999.png,1JT7y2T6W5KmAio7QYFMezJRu-W9ydrl9,https://drive.google.com/file/d/1JT7y2T6W5KmAio7QYFMezJRu-W9ydrl9/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1481994,,
050998.png,1JX3tEwnaE_xLWTBr21DgxTjbefKdzMWY,https://drive.google.com/file/d/1JX3tEwnaE_xLWTBr21DgxTjbefKdzMWY/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1676491,,
050997.png,1JpWUa0kJ1X5xQzh3h6zgHogcv8kaZxYS,https://drive.google.com/file/d/1JpWUa0kJ1X5xQzh3h6zgHogcv8kaZxYS/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1563047,,
050996.png,1Jqv0dBgH0eaKFPsa2OAAExE_Q1xT9WLT,https://drive.google.com/file/d/1Jqv0dBgH0eaKFPsa2OAAExE_Q1xT9WLT/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1538992,,
050995.png,1JsTEEjtnIaZMtjwPWJ1pnRQCo7o1ycbh,https://drive.google.com/file/d/1JsTEEjtnIaZMtjwPWJ1pnRQCo7o1ycbh/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1522955,,
050994.png,1JwCFPycc681-QsiFii81VdtcooQFAdjk,https://drive.google.com/file/d/1JwCFPycc681-QsiFii81VdtcooQFAdjk/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1784733,,
050993.png,1JyLlSiWHA7NAT96uBEDtJq1IsBJYpSeJ,https://drive.google.com/file/d/1JyLlSiWHA7NAT96uBEDtJq1IsBJYpSeJ/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1771247,,
050992.png,1G0qub2QYxbMpTcxennVoIuJOwe3l3vyS,https://drive.google.com/file/d/1G0qub2QYxbMpTcxennVoIuJOwe3l3vyS/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1421041,,
050991.png,1G6K2FUu7EhSfHr5FnMg2Zn2TEOrBuXQN,https://drive.google.com/file/d/1G6K2FUu7EhSfHr5FnMg2Zn2TEOrBuXQN/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1420987,,
050990.png,1G9saJkviL--5kjZw8HiYzjxnoUmFKpwv,https://drive.google.com/file/d/1G9saJkviL--5kjZw8HiYzjxnoUmFKpwv/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1514328,,
050989.png,1GAVqC1viKolgOmhfee3N0CFC2YAUqVry,https://drive.google.com/file/d/1GAVqC1viKolgOmhfee3N0CFC2YAUqVry/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1531876,,
050988.png,1GLGbp3l3cKXFOuphuU6-bn6aVNzeF3i2,https://drive.google.com/file/d/1GLGbp3l3cKXFOuphuU6-bn6aVNzeF3i2/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1502403,,
050987.png,1GMD7_fqmucbeZC-EoyxbS6qZlpxAUnIU,https://drive.google.com/file/d/1GMD7_fqmucbeZC-EoyxbS6qZlpxAUnIU/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1628888,,
050986.png,1GOvoqyR7X-aO9yX5ypJqQ9oiv5NTPXkE,https://drive.google.com/file/d/1GOvoqyR7X-aO9yX5ypJqQ9oiv5NTPXkE/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1663885,,
050985.png,1GVdADQ2aU5OYePBhJ3IyrZNxDeA3oJFl,https://drive.google.com/file/d/1GVdADQ2aU5OYePBhJ3IyrZNxDeA3oJFl/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1669255,,
050984.png,1G_R7xGM9hktH8d2cucZVUim4kNtlAm4N,https://drive.google.com/file/d/1G_R7xGM9hktH8d2cucZVUim4kNtlAm4N/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1634493,,
050983.png,1GfsOqO2PZ2vmKmbuTtjZPp6T0muT99SX,https://drive.google.com/file/d/1GfsOqO2PZ2vmKmbuTtjZPp6T0muT99SX/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1768920,,
050982.png,1Ghpdreay2RdgSJOKgf7vBudhzdvee5FU,https://drive.google.com/file/d/1Ghpdreay2RdgSJOKgf7vBudhzdvee5FU/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1673524,,
050981.png,1Gn1ROYXT3ODN36pgnKhzAu6q3o3YoYKn,https://drive.google.com/file/d/1Gn1ROYXT3ODN36pgnKhzAu6q3o3YoYKn/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1807081,,
050980.png,1GpOrlXommQDB1enZwkJ-aAtR8cZSM1sq,https://drive.google.com/file/d/1GpOrlXommQDB1enZwkJ-aAtR8cZSM1sq/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1586452,,
050979.png,1Gvj4wmHRypptjpNDnttkbFgT2jH2Aedf,https://drive.google.com/file/d/1Gvj4wmHRypptjpNDnttkbFgT2jH2Aedf/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1702622,,
050978.png,1GzoEohD7T5uJr2CKV_pEcc7Fx3G7EIuj,https://drive.google.com/file/d/1GzoEohD7T5uJr2CKV_pEcc7Fx3G7EIuj/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1843342,,
050977.png,1H-rJwdmQJdsY3sg9Uk1qm3fWbzaGMiJ9,https://drive.google.com/file/d/1H-rJwdmQJdsY3sg9Uk1qm3fWbzaGMiJ9/view?usp=drivesdk,,Tero Karras FI,12/16/2018,1544132,,
